experiment_id,ablation_tag,dataset,model,seed,run_label,run_dir,status,started_at,finished_at,sota_method,sota_lambda,alpha_cell,meg_rw_alpha,ndcg@10,recall@10,mrr@10,expdev,tail_ratio,tail_head_ratio,exposure_ratio,ndcg_gap_max_min,ndcg_std,worst_group_ndcg,ndcg_niche,ndcg_semi_niche,ndcg_semi_mainstream,ndcg_mainstream,transfer_l1_shift,transfer_max_abs_shift,fairness_error
lastfm__itemknn__seed4__baseline,,lastfm,itemknn,4,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/itemknn/seed_4/baseline,success,2026-04-24T13:24:05Z,2026-04-24T13:24:33Z,none,,baseline,0.0,0.1587,0.1614,0.292,0.293214451575,0.0932590233546,0.135864522115,0.135864522116,0.242437747461,0.0909435291176,0.0525622354276,0.0525622354276,0.106775263089,0.182033020932,0.294999982888,,,
lastfm__itemknn__seed5__baseline,,lastfm,itemknn,5,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/itemknn/seed_5/baseline,success,2026-04-24T13:24:36Z,2026-04-24T13:25:04Z,none,,baseline,0.0,0.172,0.1672,0.33,0.294090247754,0.092144373673,0.133898958735,0.133898958735,0.261596779559,0.097038678219,0.059338164827,0.059338164827,0.121587041897,0.187842082345,0.320934944386,,,
lastfm__lightgcn__seed0__alpha_0.1,,lastfm,lightgcn,0,alpha_0.1,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/lightgcn/seed_0/alpha_0.1,success,2026-04-16T02:05:23Z,2026-04-16T02:08:13Z,none,,baseline,0.1,0.1607,0.1659,0.2986,0.431935258369,0.00690021231423,0.00715898452557,0.00512142739138,0.211270651142,0.0813680337988,0.0803396227457,0.0803396227457,0.106988554118,0.162509722487,0.291610273888,0,0,
lastfm__lightgcn__seed0__alpha_0.2,,lastfm,lightgcn,0,alpha_0.2,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/lightgcn/seed_0/alpha_0.2,success,2026-04-16T02:08:16Z,2026-04-16T02:11:06Z,none,,baseline,0.2,0.1607,0.1659,0.2986,0.431935258369,0.00690021231423,0.00715898452557,0.00512142739138,0.211270651142,0.0813680337988,0.0803396227457,0.0803396227457,0.106988554118,0.162509722487,0.291610273888,0,0,
lastfm__lightgcn__seed0__alpha_0.4,,lastfm,lightgcn,0,alpha_0.4,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/lightgcn/seed_0/alpha_0.4,success,2026-04-16T02:11:10Z,2026-04-16T02:13:59Z,none,,baseline,0.4,0.1607,0.1659,0.2986,0.431935258369,0.00690021231423,0.00715898452557,0.00512142739138,0.211270651142,0.0813680337988,0.0803396227457,0.0803396227457,0.106988554118,0.162509722487,0.291610273888,0,0,
lastfm__lightgcn__seed0__alpha_0.8,,lastfm,lightgcn,0,alpha_0.8,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/lightgcn/seed_0/alpha_0.8,success,2026-04-16T02:14:02Z,2026-04-16T02:16:52Z,none,,baseline,0.8,0.1607,0.1659,0.2986,0.431935258369,0.00690021231423,0.00715898452557,0.00512142739138,0.211270651142,0.0813680337988,0.0803396227457,0.0803396227457,0.106988554118,0.162509722487,0.291610273888,0,0,
lastfm__lightgcn__seed0__baseline,,lastfm,lightgcn,0,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/lightgcn/seed_0/baseline,success,2026-04-16T02:02:30Z,2026-04-16T02:05:20Z,none,,baseline,0.0,0.1607,0.1659,0.2986,0.431935258369,0.00690021231423,0.00715898452557,0.00512142739138,0.211270651142,0.0813680337988,0.0803396227457,0.0803396227457,0.106988554118,0.162509722487,0.291610273888,,,
lastfm__lightgcn__seed1__baseline,,lastfm,lightgcn,1,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/lightgcn/seed_1/baseline,success,2026-04-24T09:03:45Z,2026-04-24T09:06:35Z,none,,baseline,0.0,0.1562,0.1651,0.2901,0.432731436713,0.00902335456476,0.00934630820825,0.00571774149211,0.191788814782,0.0726012019645,0.0816243374999,0.0816243374999,0.114000831253,0.154491455015,0.273413152282,,,
lastfm__lightgcn__seed2__baseline,,lastfm,lightgcn,2,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/lightgcn/seed_2/baseline,success,2026-04-24T09:06:39Z,2026-04-24T09:09:29Z,none,,baseline,0.0,0.1583,0.1628,0.2932,0.431192158582,0.00944798301486,0.00981743974407,0.00501902818377,0.189884580712,0.0730048032311,0.0867169602086,0.0867169602086,0.111412218712,0.157109538026,0.276601540921,,,
lastfm__lightgcn__seed3__baseline,,lastfm,lightgcn,3,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/lightgcn/seed_3/baseline,success,2026-04-24T09:09:33Z,2026-04-24T09:12:23Z,none,,baseline,0.0,0.1634,0.1662,0.3044,0.431192158582,0.00891719745223,0.00926589818542,0.0052947989631,0.214435147061,0.0816888458884,0.0835614657036,0.0835614657036,0.117591016096,0.153214236646,0.297996612765,,,
lastfm__lightgcn__seed4__baseline,,lastfm,lightgcn,4,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/lightgcn/seed_4/baseline,success,2026-04-24T09:12:27Z,2026-04-24T09:15:17Z,none,,baseline,0.0,0.1541,0.1602,0.2865,0.431696404866,0.00774946921444,0.00804407713498,0.00611570247934,0.187199206285,0.0708314689299,0.0794097655259,0.0794097655259,0.111457737981,0.157768653827,0.266608971811,,,
lastfm__lightgcn__seed5__baseline,,lastfm,lightgcn,5,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/lightgcn/seed_5/baseline,success,2026-04-24T09:15:20Z,2026-04-24T09:18:09Z,none,,baseline,0.0,0.1634,0.1675,0.3076,0.432996829495,0.00727176220807,0.00752788614758,0.00631902851805,0.213624916664,0.0814121749475,0.0833440250108,0.0833440250108,0.11650581121,0.155428806758,0.296968941675,,,
