experiments_root,dataset,model,seed,run_label,alpha,sota_method,sota_lambda,ndcg@10,expdev,tail_ratio,ndcg_niche,ndcg_semi_niche,ndcg_semi_mainstream,ndcg_mainstream,ndcg_gap_max_min,ndcg_std,worst_group_ndcg,align_pearson,align_spearman,exp_head,exp_upper_mid,exp_lower_mid,exp_tail,transfer_l1_shift,transfer_max_abs_shift,transfer_niche_head,transfer_niche_upper_mid,transfer_niche_lower_mid,transfer_niche_tail
experiments/cikm2026,lastfm,weighted_bpr,0,alpha_0.0,0.0,none,,0.1593,0.4299182732314182,0.006050955414012739,0.0792999017090457,0.10283992865749667,0.1656396141256712,0.28816811192280845,0.20886821021376273,0.08098540641165144,0.0792999017090457,,,3.8372552228966326,0.11500284161949575,0.023225806451612898,0.02451612903225806,0.0,0.0,0.8402150537634407,,,0.02451612903225806
experiments/cikm2026,lastfm,weighted_bpr,0,alpha_0.0_beta_0.1,0.0,none,,0.1593,0.4299182732314182,0.006050955414012739,0.0792999017090457,0.10283992865749667,0.1656396141256712,0.28816811192280845,0.20886821021376273,0.08098540641165144,0.0792999017090457,,,3.8372552228966326,0.11500284161949575,0.023225806451612898,0.02451612903225806,0.0,0.0,0.8402150537634407,,,0.02451612903225806
experiments/cikm2026,lastfm,weighted_bpr,0,baseline,0.0,none,,0.1593,0.4299182732314182,0.006050955414012739,0.0792999017090457,0.10283992865749667,0.1656396141256712,0.28816811192280845,0.20886821021376273,0.08098540641165144,0.0792999017090457,,,3.8372552228966326,0.11500284161949575,0.023225806451612898,0.02451612903225806,,,0.8402150537634407,,,0.02451612903225806
experiments/cikm2026,lastfm,weighted_bpr,0,alpha_0.0_beta_0.5,0.0,none,,0.1593,0.4299182732314182,0.006050955414012739,0.0792999017090457,0.10283992865749667,0.1656396141256712,0.28816811192280845,0.20886821021376273,0.08098540641165144,0.0792999017090457,,,3.8372552228966326,0.11500284161949575,0.023225806451612898,0.02451612903225806,0.0,0.0,0.8402150537634407,,,0.02451612903225806
experiments/cikm2026,lastfm,weighted_bpr,0,alpha_0.0_beta_0.0,0.0,none,,0.1593,0.4299182732314182,0.006050955414012739,0.0792999017090457,0.10283992865749667,0.1656396141256712,0.28816811192280845,0.20886821021376273,0.08098540641165144,0.0792999017090457,,,3.8372552228966326,0.11500284161949575,0.023225806451612898,0.02451612903225806,0.0,0.0,0.8402150537634407,,,0.02451612903225806
experiments/cikm2026,lastfm,weighted_bpr,0,alpha_0.0_beta_0.3,0.0,none,,0.1593,0.4299182732314182,0.006050955414012739,0.0792999017090457,0.10283992865749667,0.1656396141256712,0.28816811192280845,0.20886821021376273,0.08098540641165144,0.0792999017090457,,,3.8372552228966326,0.11500284161949575,0.023225806451612898,0.02451612903225806,0.0,0.0,0.8402150537634407,,,0.02451612903225806
experiments/cikm2026_SOTA,lastfm,weighted_bpr,0,baseline,0.0,none,,0.1593,0.4299182732314182,0.006050955414012739,0.0792999017090457,0.10283992865749667,0.1656396141256712,0.28816811192280845,0.20886821021376273,0.08098540641165144,0.0792999017090457,,,3.8372552228966326,0.11500284161949575,0.023225806451612898,0.02451612903225806,,,0.8402150537634407,,,0.02451612903225806
experiments/cikm2026_SOTA,lastfm,weighted_bpr,0,baseline,0.0,none,,0.1593,0.4299182732314182,0.006050955414012739,0.0792999017090457,0.10283992865749667,0.1656396141256712,0.28816811192280845,0.20886821021376273,0.08098540641165144,0.0792999017090457,,,3.8372552228966326,0.11500284161949575,0.023225806451612898,0.02451612903225806,,,0.8402150537634407,,,0.02451612903225806
experiments/cikm2026_SOTA,lastfm,weighted_bpr,0,baseline,0.0,none,,0.1593,0.4299182732314182,0.006050955414012739,0.0792999017090457,0.10283992865749667,0.1656396141256712,0.28816811192280845,0.20886821021376273,0.08098540641165144,0.0792999017090457,,,3.8372552228966326,0.11500284161949575,0.023225806451612898,0.02451612903225806,,,0.8402150537634407,,,0.02451612903225806
experiments/cikm2026_SOTA,lastfm,weighted_bpr,0,baseline,0.0,none,,0.1593,0.4299182732314182,0.006050955414012739,0.0792999017090457,0.10283992865749667,0.1656396141256712,0.28816811192280845,0.20886821021376273,0.08098540641165144,0.0792999017090457,,,3.8372552228966326,0.11500284161949575,0.023225806451612898,0.02451612903225806,,,0.8402150537634407,,,0.02451612903225806
